Function,Algorithm,Best,Worst,Mean,Std
Ackley,PSO,0.0,0.0002,0.0001,0.0
Ackley,BBPSO,0.0,0.0,0.0,0.0
Ackley,GA,0.0,6.6163,0.3392,1.3543
Rastrigin,PSO,0.0,0.0042,0.0002,0.0007
Rastrigin,BBPSO,0.0,1.9899,0.3184,0.505
Rastrigin,GA,0.0,5.0345,0.2214,0.8959
Rosenbrock,PSO,0.0002,9.9479,0.7,1.9247
Rosenbrock,BBPSO,0.0008,9.6876,1.0899,2.3327
Rosenbrock,GA,0.0144,29.4761,2.7677,5.5129
Griewank,PSO,0.001,0.0643,0.0177,0.0128
Griewank,BBPSO,0.0,0.0813,0.0168,0.0126
Griewank,GA,0.0,1.4449,0.1137,0.2676
Schwefel,PSO,0.0,355.315,78.2301,93.6921
Schwefel,BBPSO,0.0,118.4384,37.9003,55.2487
Schwefel,GA,0.6808,525.5636,282.5806,140.5475
