Function,Algorithm,Best,Worst,Mean,Std
Ackley,PSO,0.4798,16.0664,1.8505,2.1049
Ackley,BBPSO,3.3027,7.4438,4.797,0.9086
Ackley,GA,0.0,14.3369,2.0621,4.4587
Rastrigin,PSO,40.2977,153.034,81.4599,26.0737
Rastrigin,BBPSO,34.7706,149.8825,75.502,25.3359
Rastrigin,GA,0.0,144.6678,2.8934,20.2535
Rosenbrock,PSO,19.9612,192798.0601,40379.7338,49665.5961
Rosenbrock,BBPSO,77.2954,55684.3045,1611.4902,7744.1068
Rosenbrock,GA,18.8291,81702.5953,11198.9683,19809.4094
Griewank,PSO,0.8343,1.0902,0.9981,0.064
Griewank,BBPSO,1.2396,3.4569,1.7766,0.4738
Griewank,GA,0.0,63.285,11.375,17.6248
Schwefel,PSO,864.7446,2861.322,1894.9213,456.31
Schwefel,BBPSO,1315.2853,2858.9809,2031.5438,354.1811
Schwefel,GA,4621.596,6630.8648,5701.7678,441.1209
