Function,Algorithm,Best,Worst,Mean,Std
Ackley,PSO,2.3392,18.3005,7.4057,5.2415
Ackley,BBPSO,7.6347,19.6941,12.4661,3.6751
Ackley,GA,0.0,15.8568,1.9951,4.7723
Rastrigin,PSO,96.0452,253.1201,181.4222,35.7948
Rastrigin,BBPSO,86.9359,239.5543,173.7956,30.8269
Rastrigin,GA,0.0,189.0189,3.7804,26.4626
Rosenbrock,PSO,25186.6663,490004.1841,155304.2282,91310.991
Rosenbrock,BBPSO,1174.5131,169914.401,35372.3283,41074.3809
Rosenbrock,GA,28.7601,129821.5312,11434.2351,28129.8201
Griewank,PSO,1.2325,91.9044,26.8793,40.2641
Griewank,BBPSO,4.4118,54.8016,16.9471,8.5767
Griewank,GA,0.0,93.189,24.9159,25.9185
Schwefel,PSO,1707.2546,5228.226,3361.9867,757.438
Schwefel,BBPSO,2469.3623,4560.787,3472.5901,502.5832
Schwefel,GA,7337.9534,10144.3979,8996.8134,616.6759
